checkpoint,relation,n_points,slope,intercept,R2,p_value,slope_se,rmse
9,conj,21,-0.3003,0.8584,0.9016,5.1114880230646245e-11,0.0228,0.0658
9,cop,5,-0.3913,1.0017,0.9468,0.005300724126151536,0.0536,0.0527
9,csubj,1,,,,,,
9,dep,15,-0.2821,0.7974,0.9078,4.229707150572696e-08,0.0249,0.0679
9,det,8,-0.3962,0.9295,0.9398,6.974477724367788e-05,0.0409,0.066
9,discourse,0,,,,,,
9,dobj,10,-0.3371,1.0754,0.8529,0.00013627157396461863,0.0495,0.102
9,expl,1,,,,,,
9,iobj,2,,,,,,
9,mark,15,-0.3531,0.9597,0.8457,1.2357966115718141e-06,0.0418,0.1139
9,mwe,1,,,,,,
9,neg,4,-0.4229,0.9459,0.9909,0.004564521900456974,0.0287,0.0211
9,nn,6,-0.3573,0.7508,0.6951,0.0391676467637703,0.1183,0.1432
9,npadvmod,5,-0.4036,1.0379,0.6692,0.09059986208281721,0.1638,0.1613
9,nsubj,20,-0.2511,0.8492,0.8384,1.5051575155711885e-08,0.026,0.0873
9,nsubjpass,11,-0.2913,0.9732,0.6977,0.0013706805795929858,0.0639,0.1181
9,num,5,-0.4285,0.979,0.8003,0.04042810645078489,0.1236,0.1217
9,number,6,-0.5432,0.8203,0.8718,0.006444726440829084,0.1041,0.126
9,parataxis,9,-0.5767,1.4252,0.9518,7.282809181287552e-06,0.049,0.0714
9,pcomp,5,-0.2738,0.9639,0.9049,0.012814289751458456,0.0512,0.0504
9,pobj,8,-0.3089,1.0273,0.8406,0.001350003189398838,0.0549,0.0885
9,poss,7,-0.4211,0.806,0.9511,0.00018269829064110956,0.0427,0.0605
9,possessive,2,,,,,,
9,preconj,2,,,,,,
9,predet,2,,,,,,
9,prep,21,-0.1777,0.7603,0.628,1.8448779329181365e-05,0.0314,0.1102
9,prt,2,,,,,,
9,quantmod,4,-0.4044,0.6241,0.9492,0.02574663043544479,0.0662,0.0551
9,rcmod,12,-0.3855,0.9581,0.8455,2.3212935393731273e-05,0.0521,0.0937
9,tmod,10,-0.3738,0.9707,0.8303,0.0002442514074532832,0.0598,0.1231
9,vmod,16,-0.227,0.7691,0.692,6.450893971987478e-05,0.0405,0.1157
9,xcomp,10,-0.396,1.1324,0.8556,0.00012649471863643977,0.0575,0.1131
11,acomp,2,,,,,,
11,advcl,17,-0.1555,0.4585,0.7158,1.869185291023289e-05,0.0253,0.0531
11,advmod,13,-0.2186,0.881,0.7171,0.0002603150747145653,0.0414,0.1054
11,amod,7,-0.4085,0.9628,0.9365,0.000353718956068713,0.0476,0.0675
11,appos,11,-0.3875,0.994,0.9753,1.5352126162943117e-08,0.0206,0.0438
11,aux,5,-0.5152,1.0906,0.8635,0.022338429641118703,0.1182,0.1164
11,auxpass,3,-0.0603,0.9748,0.8896,0.21563094261735252,0.0212,0.0096
11,cc,20,-0.112,0.6115,0.382,0.003680359867006298,0.0336,0.1128
11,ccomp,25,-0.1787,0.9364,0.5466,2.4202604796977852e-05,0.0339,0.1126
11,conj,21,-0.2747,0.7977,0.8135,2.341671103390744e-08,0.0302,0.0873
11,cop,5,-0.2839,0.9667,0.9612,0.003285283126651046,0.0329,0.0324
11,csubj,1,,,,,,
11,dep,15,-0.2914,0.8245,0.8852,1.7729509382989124e-07,0.0291,0.0793
11,det,8,-0.4488,1.0584,0.888,0.0004590643685815833,0.0651,0.1049
11,discourse,0,,,,,,
11,dobj,10,-0.3194,1.1336,0.7093,0.0022308213545562676,0.0723,0.149
11,expl,1,,,,,,
11,iobj,2,,,,,,
11,mark,15,-0.3517,1.0232,0.8725,3.5344517936344285e-07,0.0373,0.1016
11,mwe,1,,,,,,
11,neg,4,-0.403,0.9662,0.9289,0.03620641223407884,0.0788,0.058
11,nn,6,-0.3771,0.8076,0.7791,0.019848908807275783,0.1004,0.1215
11,npadvmod,5,-0.364,1.0686,0.6458,0.10132997834971871,0.1556,0.1532
11,nsubj,20,-0.243,0.9189,0.8938,3.3529890111033e-10,0.0197,0.0664
11,nsubjpass,11,-0.4196,1.26,0.7823,0.00029904508504011753,0.0738,0.1364
11,num,5,-0.3677,0.9914,0.7424,0.06049483140158713,0.1251,0.1231
11,number,6,-0.5323,0.8282,0.8714,0.006493614803930162,0.1023,0.1237
11,parataxis,9,-0.4742,1.2647,0.8268,0.000677290208725403,0.082,0.1194
11,pcomp,5,-0.1805,0.9118,0.4228,0.23488656773145075,0.1217,0.1199
11,pobj,8,-0.2708,1.0458,0.7726,0.004040689558467184,0.06,0.0967
11,poss,7,-0.4583,0.9261,0.9384,0.0003274122967335139,0.0525,0.0745
11,possessive,2,,,,,,
11,preconj,2,,,,,,
11,predet,2,,,,,,
11,prep,21,-0.142,0.774,0.5936,4.3834070288216634e-05,0.027,0.0947
11,prt,2,,,,,,
